,United States,New Mexico,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM","Gallup, NM","Hobbs, NM","Alamogordo, NM","Roswell, NM","Carlsbad, NM","Clovis, NM","Espa-¦ola, NM","Taos, NM","Las Vegas, NM","Silver City, NM","Grants, NM","Deming, NM","Portales, NM","Los Alamos, NM"
5/31/03,149690.8496500967,134325.95327522172,139751.36786666806,153609.03982299205,233428.3439025907,,,,,,,,,,,,,,,
6/30/03,150625.0110166543,134695.19917633868,140045.10846212073,154482.5789454727,234502.77278735637,,,,,,,,,,,,,,,
7/31/03,151610.9195419594,135210.90465184057,140503.30411720218,155174.86690055052,235790.17568044993,,,,,,,,,,,,,,,
8/31/03,152663.17344554156,135789.42417618283,140995.23008535034,156162.77558838492,237328.64673187063,,,,,,,,,,,,,,,
9/30/03,153778.75389863833,136281.4551996322,141393.46283122295,157110.51732467447,239281.4109264587,,,,,,,,,,,,,,,
10/31/03,154906.7775624952,136783.79689935886,141818.5726374743,157998.84245896514,241189.84022072543,,,,,,,,,,,,,,,
11/30/03,155951.1000421421,137343.39102357524,142378.50422354016,158574.4921,242685.65151986212,,,,,,,,,,,,,,,
12/31/03,156931.2769211099,138084.76321734776,143196.8200276066,159149.91148135302,243701.1689327529,,,,,,,,,,,,,,,
1/31/04,157863.8327166345,138754.25308996797,143952.1303905843,159622.23952444762,244402.76876245625,,,,,,,,,,,,,,,
2/29/04,158862.0429538973,139464.01074185144,144654.46598725687,160239.63976866493,249193.1890186717,,,,,,,,,,,,,,,
3/31/04,159964.26948488483,140004.66540252764,145116.28565906858,161082.23417777996,253430.4989780935,,,,,,,,,,,,,,,
4/30/04,161194.81561251287,140528.6625694967,145590.00856156697,161943.90808034452,257441.79396028016,,,,,,,,,,,,,,,
5/31/04,162579.4534671126,141134.14371919088,146122.73889567514,163262.81508983838,259140.90329184625,,,,,,,,,,,,,,,
6/30/04,164084.76448432272,141989.89845388164,146876.4943914588,164880.0563948245,262282.17832372256,,,,,,,,,,,,,,,
7/31/04,165710.41696936017,143027.64833868205,147739.10271466468,166936.06331137542,266419.1741188168,,,,,,,,,,,,,,,
8/31/04,167358.2988112469,143973.51718684708,148582.39374922522,168597.07976337444,269763.9891482697,,,,,,,,,,,,,,,
9/30/04,168983.96872890773,144699.40650594266,149238.42843800865,169963.93874243248,272462.5339099481,,,,,,,,,,,,,,,
10/31/04,170540.40967165848,145337.00376728756,149854.15413583245,171040.8067398327,275057.3556716283,,,,,,,,,,,,,,,
11/30/04,172003.9821340237,145921.66423533866,150406.58979195484,172342.31744819588,276919.3664,,,,,,,,,,,,,,,
12/31/04,173444.45970937682,146540.45612252317,151016.14476512562,173611.99046725346,278669.06779527914,,,,,,,,,,,,,,,
1/31/05,174838.84657978162,147143.58154973414,151609.18354245738,175116.96209495878,280082.0280363465,,,,,,,,,,,,,,,
2/28/05,176255.87112574957,147738.57487697536,152203.14544290578,176596.4582495743,281776.1627589392,,,,,,,,,,,,,,,
3/31/05,177712.04729802595,148498.04336169385,152905.39372861935,178714.0191394354,284098.3106905379,,,,,,,,,,,,,,,
4/30/05,179348.49930113825,149334.30496677803,153695.4412773214,180622.07722300795,286637.8117,,,,,,,,,,,,,,,
5/31/05,181085.96833380384,150270.11820715092,154588.5964799733,182440.55423324087,288740.27062477166,,,,,,,,,,,,,,,
6/30/05,182910.76542971385,151300.43423690577,155626.22882495238,183647.19121024743,290510.6785280645,,,,,,,,,,,,,,,
7/31/05,184747.89359000785,152649.69484627093,156977.96130473132,185178.26067890492,292357.95006331324,,,,,,,,,,,,,,,
8/31/05,186605.9755468273,154263.19910507384,158607.33717457275,186857.36514620925,294935.4323613793,,,,,,,,,,,,,,,
9/30/05,188432.2883081688,156141.5715582321,160598.79346380936,188532.86380353928,297765.4529907149,,,,,,,,,,,,,,,
10/31/05,190164.48312601764,157999.81775293723,162602.09314419326,190443.14267578212,300432.9912319959,,,,,,,,,,,,,,,
11/30/05,191752.41983177033,159846.4441787443,164627.9206470518,192424.43594174812,302471.25643124845,,,,,,,,,,,,,,,
12/31/05,193189.81706976463,161655.59667121372,166676.1207690312,194421.6684205643,304176.8218263308,,,,,,,,,,,,,,,
1/31/06,194419.8974712252,163389.19029137402,168622.0908097048,196001.2326336729,306058.3822,,,,,,,,,,,,,,,
2/28/06,195563.9732244762,165116.48537670006,170489.1652094553,197597.5788111135,308703.16247950547,,,,,,,,,,,,,,,
3/31/06,196715.00194840273,166801.96706337074,172220.43664778944,199195.39885754217,312375.39518775576,,,,,,,,,,,,,,,
4/30/06,197948.8118389241,168824.90676769117,174402.73940282728,201051.76943930532,315902.94462619076,,,,,,,,,,,,,,,
5/31/06,199167.79991670293,170861.7380313635,176757.42149470668,202579.85823525907,318846.46591958747,,,,,,,,,,,,,,,
6/30/06,200249.85594700687,173007.41316762284,179230.70328174726,204287.3477960885,320857.3417477151,,,,,,,,,,,,,,,
7/31/06,201110.54972095168,174885.64971207804,181346.3004232158,206012.8327273581,323435.85926167417,,,,,,,,,,,,,,,
8/31/06,201786.3575750914,176813.2156814077,183456.4111,208156.5275276215,325417.35164486937,,,,,,,,,,,,,,,
9/30/06,202245.74936733628,178651.45074490784,185529.77227941307,210225.42422178076,327718.23291496537,,,,,,,,,,,,,,,
10/31/06,202587.71344132104,180435.2265273035,187571.7170167805,212178.9404511527,329371.9293329968,,,,,,,,,,,,,,,
11/30/06,202782.53555389328,181974.75632145657,189286.9538313848,213825.96592944456,331833.8342337382,,,,,,,,,,,,,,,
12/31/06,202915.16726661375,183188.5729571462,190522.48366651675,215654.26,334292.8761,,,,,,,,,,,,,,,
1/31/07,202985.53328389363,184072.4752477043,191433.36366378271,217190.5014000433,336546.0862,,,,,,,,,,,,,,,
2/28/07,203057.21500681597,184767.8470000718,192182.27851811465,218868.6389749349,338082.14558614156,,,,,,,,,,,,,,,
3/31/07,203121.46285157383,185262.8787553745,192756.9965911978,220405.52105336296,338476.5373,,,,,,,,,,,,,,,
4/30/07,203191.5887998736,186029.3312,193659.4031643269,221960.48031449004,339249.59590406204,,,,,,,,,,,,,,,
5/31/07,203152.20003533017,186794.1166578578,194587.15888386904,223227.13791841487,340191.4802079192,,,,,,,,,,,,,,,
6/30/07,202950.1650673764,187916.98564685733,196035.47344429695,224263.34082795357,341517.7473367711,,,,,,,,,,,,,,,
7/31/07,202529.91658512695,188789.44438826153,197187.66474386895,224661.58709678115,342855.15181455173,,,,,,,,,,,,,,,
8/31/07,202023.74855406547,189536.09894846892,198169.8801405939,224772.1022555476,344999.44054663734,,,,,,,,,,,,,,,
9/30/07,201409.3641977328,189765.54961386148,198461.29431565633,224831.84046085124,346754.62344717886,,,,,,,,,,,,,,,
10/31/07,200743.81735681804,189829.94718790063,198504.3464667515,225456.44779102423,347486.05704374454,,,,,,,,,,,,,,,
11/30/07,199935.61485167863,189809.68535848512,198395.7242744201,225913.94917541297,348417.63706279645,,,,,,,,,,,,,,,
12/31/07,199075.46527376305,189877.68130350555,198386.3659556675,226066.5654,349522.7957,,,,,,,,,,,,,,,
1/31/08,198079.34469752244,189833.4268,198222.52567474687,226013.79890286247,350641.36917854863,,,,,,,,,,,,,,,
2/29/08,196980.8057865609,189674.9248991583,197917.50753248748,225943.96548042007,352034.6270758594,,,,,,,,,,,,,,,
3/31/08,195743.3691176105,189360.88117234645,197388.1450574164,225828.37612776735,353332.23549083114,,,,,,,,,,,,,,,
4/30/08,194407.85428334665,188893.69587854823,196636.95704921745,225732.4017072606,354742.9896892014,,,,,,,,,,,,,,,
5/31/08,193011.9766076159,188319.2669821345,195807.3253720616,225924.88884788577,353197.89270370436,,,,,,,,,,,,,,,
6/30/08,191536.42774983135,187554.72967568575,194765.9669466756,226173.71006838224,350305.05819838337,,,,,,,,,,,,,,,
7/31/08,189957.0687820044,186648.2931887627,193652.3385769534,225875.07475410376,346588.79652989097,,,,,,,,,,,,,,,
8/31/08,188196.65551484775,185636.24866263373,192385.9444,225112.81665978895,343702.7517388414,,,,,,,,,,,,,,,
9/30/08,186412.99980328232,184687.382,191222.8986389828,223955.5828787282,342562.39224896196,,,,,,,,,,,,,,,
10/31/08,184672.7592424424,183596.95480931457,189898.86629015557,222099.82669363517,341517.1578414168,,,,,,,,,,,,,,,
11/30/08,182966.351,182522.02567022413,188415.19460967157,220846.70625975812,340063.2474767797,,,,,,,,,,,,,,,
12/31/08,181272.1648651612,181627.53968691465,186902.36225163392,220968.0288860236,337442.45191877946,,,,,,,,,,,,,,,
1/31/09,179614.54005497613,181001.2512,185571.51537827667,222381.5436770895,335292.7846785931,,,,,105965.9940792568,,,,,,,,,,
2/28/09,178201.5277595051,180353.32415468505,184571.82077328264,222613.5616701738,333070.0778921894,,,,,105843.8203,,,,,,,,,,
3/31/09,176907.60843660755,179189.1219148361,183568.28053192273,219363.70198288665,330873.33010989317,,,,,105599.89018660173,,,,,,,,,,339080.30328258633
4/30/09,175691.2081757126,178106.48225551416,182830.79853648308,215723.18061034815,328688.4974152472,,,,,105184.4324,,,,,,,,,,338338.3651451974
5/31/09,174460.98350395387,177082.1960618066,182255.02038000687,212154.78270346695,325196.3906876553,,,,,104774.13727202595,,,,,,,,,,337491.1530900406
6/30/09,173301.5647,176946.3145254658,181767.6056547603,209404.08426536573,321964.7874820565,,,,,104506.94795888946,,,,,,,,,,335753.88840249204
7/31/09,172254.0220965319,176597.9241663312,181063.4306318869,204282.3399056339,317927.9391542285,,,,,104306.27624239416,,,,,,,,,,333739.6240722121
8/31/09,171286.44380273638,176363.8330038636,180313.40450940563,199195.34257978015,315640.86377244326,,,,,104027.0235943616,,,,,,,,,133586.25058460046,331638.47473654454
9/30/09,170397.29487979595,175628.15195731624,179561.38151649732,195709.11436799148,312747.63992535346,,,,,103774.7266785013,,,,,,,,,133413.68956052247,329417.9231
10/31/09,169669.23324062422,175439.90152820342,179368.8746097181,195190.9439262812,310490.61029139924,,,,,103703.86050479078,,,,,,,,,133328.88409549044,327145.3662787417
11/30/09,169261.87912306972,175111.09368370738,179233.70187243904,193074.12684296863,308634.6797537867,152575.94316418067,,,,103618.32099619816,,,,,,,,,133440.7816,324742.3866444351
12/31/09,169082.26423998922,174793.78560295285,179215.12334264038,190140.26450555763,307092.56432905374,152287.9622494047,,,,103520.50197409866,,,,,,,,,133778.5127113807,322601.32713765814
1/31/10,169028.55350748723,174591.27119200092,179066.18682331653,189436.78851364608,305566.5359508807,151565.96005177253,,,,103230.14828103012,,,,,,,,,134236.5399672373,320745.87439383677
2/28/10,168969.31883144766,174607.89203858247,178853.21662304204,191680.7500964766,303383.3116,150010.09008199107,,,,103092.89193443634,,,,,,,,,134551.68481377547,319217.454
3/31/10,168980.0947513047,174878.4717388618,178935.57786979372,194877.9378367424,301858.82015919633,148577.36969549442,,,,102924.62544064524,,,,,,,,,134617.97586772346,317705.8246901298
4/30/10,169096.68939534808,174600.3407484153,178677.08097841984,195152.37256991255,300316.46820173744,147906.3392934396,,,,102754.55524950215,,,,,,,,,134405.21054311286,316295.6333305619
5/31/10,169176.89686096495,174180.2726,178437.45430264666,194040.1608501436,300203.74800302647,147927.78226148183,,,,102585.93880263752,,,,,,,,,134173.7287572685,314919.3129569682
6/30/10,169064.68085650314,173217.16233046688,177897.64571202834,191371.48917137735,300301.1323576321,148376.38934120824,,,,102463.76677985436,,,,,,,,,134144.7353450029,313610.77782299666
