,United States,"Albuquerque, NM","Las Cruces, NM","Santa Fe, NM","Farmington, NM"
2015-02-28,40631.30129491637,187609.5868789437,32704.23417219498,55308.30939669189,33727.725903583916
2015-03-31,41005.73844193309,188538.30381630655,32804.59717104845,55593.848733327424,33659.887159266866
2015-04-30,40864.97615587628,189086.67474118204,32513.873478234025,55264.33490773632,33230.3253474815
2015-05-31,41640.096686282144,190111.0662382719,33088.154742443585,56411.87125592602,33662.133215317575
2015-06-30,42330.80898455484,190644.6497369295,33626.23459420868,57416.97907860947,34147.42237322774
2015-07-31,42761.51769558528,190883.7758734818,34053.48731513528,58106.92327558856,34574.6518972322
2015-08-31,42490.01976067286,190821.42810938705,33799.84670867306,57722.434848765435,34384.95198193198
2015-09-30,42676.87668733545,191549.56483605847,33864.72129620733,58088.11346940883,34555.3529928818
2015-10-31,42598.56490091336,192085.15117052823,33598.1736112021,58107.993745752625,34315.6833456816
2015-11-30,43339.78318983942,193168.54191926724,33958.81016111661,59363.53113866458,34700.53347765424
2015-12-31,43643.0523183964,194129.6321229142,33919.32126335588,59555.96363767766,34571.06095463695
2016-01-31,43367.47929692648,38302.91018198466,33553.60987028327,58687.49978302672,34252.954991404964
2016-02-29,42846.15260772234,37786.422633050206,32898.68718905922,57239.10276386686,33391.92001907699
2016-03-31,43142.50730981464,37968.85448264956,32935.729665719264,57255.50647981663,33395.45748326775
2016-04-30,42986.44619314428,37811.177784603635,32642.14285433172,56840.42944631154,33149.275625516304
2016-05-31,43129.743936048275,37960.2079895648,32683.534848583557,56948.27699772,33266.766531856425
2016-06-30,43208.92049569867,38042.198367503974,32740.568774219864,57029.952086490426,33388.782532791134
2016-07-31,42900.927323905744,37741.657451117855,32503.690755836084,56484.39327308114,33121.19733256582
2016-08-31,43022.787984625495,37786.22214960141,32541.98132128291,56421.36042403046,33135.44815949941
2016-09-30,43264.37909365634,37872.556123315546,32590.616192528523,56509.39158235756,33095.92541838608
2016-10-31,43490.17697926487,37976.609757208,32652.539086482484,56668.23113267082,33177.767298917446
2016-11-30,44797.907242821675,39045.74892771915,33531.274435124426,58401.63355976729,34166.575177537
2016-12-31,46637.28079765012,40581.198940842696,34777.08823756628,60798.23059855472,35501.1014412968
2017-01-31,46709.235792366286,40571.60106908764,34866.096440243615,60357.57372006146,35108.46363571243
2017-02-28,47019.966665754015,40678.39140141249,34786.33416019583,61009.1361656775,35234.577398713656
2017-03-31,47382.070730101055,40855.90104706232,34817.57672715633,61994.23641052444,35551.36136929667
2017-04-30,47067.970779547104,40563.665970020025,34450.30336508494,62024.79821448091,35286.663636792924
2017-05-31,47172.96051385778,40637.05890210516,34524.584498470904,62539.599988149705,35330.84358685427
2017-06-30,46986.25023387325,40459.30188684567,34496.060314758375,62529.7942625022,35073.6062098494
2017-07-31,47425.97575132105,40805.63516740766,34978.062571745606,63423.90694575791,35404.835991619155
2017-08-31,47281.22996092483,40654.46184553637,34938.740096720845,63365.35339105761,35147.83844081673
2017-09-30,47191.50832555195,40553.83051882071,34791.278275219025,63314.650600210225,34882.534798601104
2017-10-31,47775.379422293976,41016.24117828748,35055.11676811409,64170.942454349235,35030.35673794373
2017-11-30,48131.23911289203,41307.1764073709,35134.31159656842,64694.486937337424,35052.41276981053
2017-12-31,48503.95912743227,41614.202449147866,35259.84705765364,65356.31463482261,35082.68411308211
2018-01-31,48822.205249527615,41124.45361392029,35284.10722756157,66001.26065684824,35280.261425173296
2018-02-28,50296.921839407325,42279.963205525615,36279.05838970721,68101.86723928511,36243.48053268178
2018-03-31,51073.96325050686,42823.3806607849,36679.02607421131,68558.19416759702,36832.56691403417
2018-04-30,51450.00722858991,43064.90677638698,36784.889772056544,68212.00025732689,37129.776421332055
2018-05-31,52225.39752097093,43640.87856779661,37128.21286646011,68381.11400127337,37645.342845114785
2018-06-30,52357.688122153035,43705.22340818834,37103.83601090119,68093.5275118519,37540.73539225184
2018-07-31,52426.138816337545,43721.94189342592,37142.50394920099,68033.10927904621,37424.98494609529
2018-08-31,52764.26153846709,43994.257452583115,37506.30238758164,68580.76016414087,37588.01971385794
2018-09-30,53345.64065577197,44486.10244569503,38164.124820080055,69607.90671761168,38100.03755183992
2018-10-31,54410.84069232547,45374.57313086501,39161.65814569463,71398.6728758455,38890.06630150422
2018-11-30,54747.13000544852,45640.62530841016,39602.55384030276,72314.0763524282,39078.34859157363
2018-12-31,53920.162212403375,44908.12826675032,39123.30878353797,71653.23336430574,38216.41002972359
2019-01-31,53144.2843304027,43571.22880985956,38728.943449468614,71055.65260375461,37682.17175870491
2019-02-28,52977.95001012157,43496.66897151087,38306.8710246657,71234.607343355,37462.94414900907
2019-03-31,52776.03866975098,43452.92243638232,37701.14159861427,71316.28521807013,37379.80542486638
2019-04-30,52469.22189725027,43344.746710534506,37163.45995731977,71194.90795023367,37233.08641513649
2019-05-31,52333.92751220772,43403.12126213268,36954.53579533749,71450.92420955905,37201.40066943789
2019-06-30,51316.62439005973,42651.72336918056,36215.557296668885,70296.65050157429,36421.19073973708
2019-07-31,51293.17138751248,42692.17951655336,36254.09854397826,70615.19568168162,36414.37846857173
2019-08-31,50803.36349377575,42310.56015491506,35901.58230993407,70140.53103350193,36031.74692601081
2019-09-30,50887.87050716473,42436.01734539883,35925.740607542655,70415.56032263747,36035.51830599668
2019-10-31,51424.804518427285,42926.477578311096,36259.9120315503,71259.38115502983,36348.825553102666
2019-11-30,51696.40803913011,43177.562501411216,36476.37137369505,71667.3718230507,36473.26210161256
2019-12-31,52087.95872967394,43547.7908690556,36851.441228850286,72314.9345195429,36795.93645703079
2020-01-31,51646.05302627166,44390.00021587849,36594.97930738209,71694.67819374031,36485.73756599118
2020-02-29,51253.37184624628,44055.31295891178,36307.94531821469,71045.98593919909,35992.43921080132
