RegionID,SizeRank,RegionName,RegionType,StateName,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
102001,0,United States,country,,36457.55971672164,36389.822189899416,36625.31256280089,36582.13427790395,36361.0649153049,36126.75883142046,35897.30123920915,36153.25846226533,35977.92517021467,35782.223943323675,35848.68499549438,35988.3589519305,35755.52803184989,36295.95379168164,36599.0397484814,36470.508616573985,36998.91570204746,38915.60653320785,40136.27732363884,40687.171556705296,41050.67238558949,40364.598658969495,40794.687580235615,41668.90537848563,41341.8514978314,41109.291063955294,41440.11734498064,41622.165584974595,41360.64566479366,41460.584652891695,41546.91363617059,41649.17343493711,41952.92553861028,41626.23207906068,41621.229729485996,41321.67099842312,40469.007015696254,40772.17766593912,41147.99765141239,41006.65016003694,41784.6852565382,42477.991006124335,42910.29762100699,42637.71308068042,42825.237184120815,42746.57727169705,43490.582048961005,43794.961856648275,43518.00266509614,42994.64624740376,43292.095316829946,43135.40033814074,43279.207448370355,43358.64912417271,43049.4401676849,43171.72842792275,43414.20593103598,43640.82828254941,44953.52018025204,46799.88650694699,46872.447636640296,47184.334289648395,47547.78709557006,47232.45193613975,47337.807483217184,47150.34901491615,47591.72003834077,47446.385354633894,47356.28632056043,47942.353966265604,48299.53966912133,48673.64900332998,48992.90658718044,50473.21798944083,51253.18239607574,51630.617980086274,52408.92508423588,52541.67573603615,52610.340735395286,52949.708739140806,53533.264580886156,54602.48973392025,54940.01907934532,54109.84271836147,53330.899691917526,53163.88911710251,52961.1612474058,52653.128432446734,52517.27260567568,51496.03767709292,51472.45095275,50980.726425450404,51065.51386257048,51604.456244422356,51877.05486925197,52270.057599491265,51826.276119819835,51432.02949426551,51679.245665860384,51315.568492596445,51151.51121161205,50941.27687819371,50447.390837939296,50409.31294472629,50733.98310751334,51117.951339836385,51517.63925050462,51839.4470721554,51920.555872630175,52923.465618382164,54908.84295491343,55571.95521171206,55945.875033887,56917.46959372312,57194.82356670323,57644.682489905295,58297.05720675985,59521.422619015604,60002.35628501548,60755.46094646474,62890.055786254234,65703.36865343827,69352.62864578875,75709.06959338374,78551.70822369865,81569.11396468457,81392.56994634215,80209.39170842836,86103.35601425657,91482.5381822538,90570.02370524139,87222.63693324995,86486.16669675622,86178.02529273793,88215.98988693251,87041.83158536667,88082.47431945939,90682.47286342722,92047.98240151482,94176.19443276868,95573.71083481795,98986.33339610022,97887.16017660739,93311.67626155584,92428.77246893545,93658.13104544378,94417.84073763482,96286.31987365788,97186.64127519183,96253.51759004928,95776.43994159116,93230.88356729259,91242.68475972762,93219.98302393222,96176.07929197841,95676.48691172099,97684.44222624994,96917.64120261016
394913,1,"New York, NY",msa,NY,95107.7328393197,94736.21705633719,95165.80069203897,95000.638830844,94457.2434047942,93753.92049258684,93009.98622396305,93344.06526463525,92682.91797967756,91919.05006846643,91762.77572349664,91736.60617533201,91493.46738790907,92520.07717022998,93004.64111635671,92437.68946059565,93338.82819673649,97415.05864121515,99988.82831199127,101115.74657794907,101876.17271654154,100232.2656779677,101069.08259393646,102820.36149431297,104040.41743775719,103543.89647306295,104494.86252910054,105169.78210975917,104780.6128577459,105032.34449580207,105057.12782221897,105081.35853210681,105652.83607406457,104964.31061991931,105003.51674556492,104231.44468055227,97898.70537115593,98245.44265016016,98804.18057928086,98224.87847973306,99759.30886334708,101112.64906762764,101923.93633175707,101266.7620686497,101748.19173028096,101718.55206021234,103462.6335434629,104168.21151887116,105734.58591279709,104402.48183291985,104838.60869803451,104381.06433911344,104638.5479967748,104766.6564149371,104064.10957994776,104172.52052576488,104452.38410962553,104708.96247907379,107422.34285450671,111472.40337196486,112365.08742141516,113133.87492857156,113946.74260625942,113410.49320730093,113748.16216982715,113402.19197839512,114312.33116534384,113964.81632968118,113721.01107044432,114909.25485165075,115513.34415063981,116173.26940515637,116401.40062880785,119369.51580754589,120823.08001506083,121500.84695825986,123210.72139768406,123618.26249427299,123833.79670020523,124543.17381020372,125718.37173299593,127863.57231760616,128430.8862669215,126459.06838078321,122774.58930945495,122290.57900501348,121808.2368277845,121205.80592130194,120905.98642107968,118763.45761777872,118590.84277171292,117374.30452928125,117222.04612650722,117976.72576767966,118265.5377447448,118872.74339838488,118362.27700800233,117460.62947892539,117924.3726580221,117176.13735395647,116951.73891784616,116427.26563326942,114961.03836400906,114131.51693864173,114119.72293929472,114441.4681859354,114992.1508382346,115623.22692324371,116736.27716580438,118721.10306079956,122477.27341058328,123507.82783724257,123772.28600571878,124957.50952167614,124810.72343132771,125091.072886966,125967.30913809023,128065.45333363763,128808.18941858513,129951.70072814521,132079.15305328742,136451.6549754707,142344.5750857419,153160.4595227417,157776.6743065624,162896.8282126199,162573.4089203381,160460.28547022384,170905.6663988281,180377.80785841422,178594.89354282682,172563.86258796373,169281.8182097521,168734.0720156009,172496.2451972407,170495.1036887738,172717.19689419284,177670.5786837993,180349.43720130215,184386.08230825717,187048.16405815852,193485.42661569314,191808.71315752136,184063.31090170346,180863.07664363107,183839.37783360438,185995.8645138927,190222.1262124706,192513.47990590904,191374.27654469202,191169.56466862772,187309.22135761371,184245.03260303594,188659.3823496448,194796.63952173942,193997.0377872801,197813.688093093,196492.81669450225
753899,2,"Los Angeles, CA",msa,CA,76115.33003998347,75636.16461968063,75576.19001541278,74830.10330374347,73866.92919902771,73127.47798095686,72666.02389485418,73781.45239530425,74175.55920184926,74683.35018620317,75807.73781213956,77072.69447740263,78602.288677952,80135.47054309201,80760.47026136288,80453.82528498753,82121.80126130687,87600.77443189641,91580.14156937461,93955.3198995828,96020.64796347472,95235.07341280644,97265.3182709161,100256.01434861313,100676.20112432458,99812.09948278737,100279.9795178726,100578.12356832947,99721.20852127952,99879.32546629109,99985.3690562616,100382.06082931322,101722.11234081228,101617.47202487725,102392.93274917967,102134.55722544418,101809.12992293423,102528.48342366032,103167.66648804434,102290.89197873812,103989.61107144124,105591.55568919325,106351.74951177184,104791.7039120239,104081.73189957277,102532.67453307394,103178.51722814066,102713.39270972469,102663.25722941391,102411.97446766774,105077.9927532731,106003.8858828791,107064.77581771607,107649.53613121797,106524.57434309246,105834.03934427904,104846.46596713427,104079.73910282116,106753.48364097372,111307.82313427622,111341.11223245865,113854.87921514969,116886.57239478553,117250.22408477095,118206.55940876564,118057.46215531186,118971.15314619629,118011.92519747873,117153.05482890391,118778.12896541359,119889.03103484603,121189.69620781073,122144.18148262153,127135.52005719389,130023.10710981743,131498.36032974572,133889.2166577093,134430.4110719333,134680.64441808467,136099.9237447081,138587.89006309456,142790.12980356606,144433.26607661974,142125.50811889244,140796.54895985962,138331.5885936985,135482.88189214937,133022.92494980854,131695.090959984,128275.04579949468,128014.23741221336,127018.43855552332,128092.8036734019,130368.61918750204,131635.68347834554,133016.04148675763,131873.530374768,130254.64200634326,130236.61197926136,128704.06001736871,127672.75371829604,126344.54929438379,124588.91677108109,124566.88589562112,125982.80591239581,127629.336200979,129338.91204774131,130756.15181003186,130765.63918609761,132729.8590796371,136826.6521863012,137770.09363536088,138220.94126469002,140515.1472247666,141155.15917209833,142397.55801525415,144426.52770383962,147979.04880614104,149489.9464216633,151741.90349319606,157988.78422094148,165540.67159627518,175206.53260876206,191880.53320633955,198732.17937075553,205456.75413626138,203899.3059144528,199823.34254645958,214857.13319947346,228513.4820718406,225789.30067892905,216757.24774859202,213903.27809521783,211023.6626806545,213885.89361501276,209690.36971920577,212158.0883426353,219410.31732617586,224578.08442857282,232453.63320985297,238618.7497659763,250014.54638215594,248779.2992752719,237568.9649959716,233605.77201229162,235565.31733243418,236208.9541764275,240639.13943663114,243531.00625671385,241663.05152451407,241368.5672774969,235653.19694442104,231093.18190332717,237327.98024737704,246154.00197684165,245301.4557951325,250489.49871314937,247572.71282038235
394463,3,"Chicago, IL",msa,IL,45899.48040276589,45497.654375655824,45498.831625578656,45189.44615602768,44707.93244392588,44306.91191193309,43972.81354711849,44149.432791805644,43846.58265322755,43466.828858614346,43301.34067430891,43247.776152337814,42235.61810968411,42857.435584904866,43261.98115977636,43295.802632535706,43909.96581068501,45995.35854492144,47333.369640843106,48058.481298845996,48587.313902028036,48093.19737983955,48769.55975696393,49917.40707212397,49405.92445392432,49317.38527929812,49789.163961413346,50077.887264412275,49871.63196478965,50018.52634850787,50157.52011999271,50295.48494886057,50623.28048401773,50305.39347649777,50305.14837162149,49972.953669936716,49499.54736293653,49723.13612182039,50072.948610355,49865.590527432134,50678.768469181596,51370.76306297626,51805.4897791027,51470.175585005374,51619.508976421435,51553.40718310398,52375.358532121005,52752.597329393866,52630.02404223263,52137.35922941319,52457.58707359159,52311.948403920505,52452.95727481514,52525.01830658417,52158.74552449032,52235.56940073617,52434.784708890766,52662.88838575397,54016.015353234034,55975.61127634833,55449.468863945054,55862.89512082166,56362.79642690456,56083.7945639865,56203.76199647347,55878.487090327944,56195.69710843472,55900.37530695686,55772.55706280662,56368.97951100569,56769.48529237266,57192.4912053904,57465.268944207106,59045.76319953248,59926.8134822811,60341.711815231385,61106.16320409451,61077.276886665306,60917.523736460535,61010.05171306674,61387.29078372456,62328.95988093996,62580.992116113084,61733.86067853193,61238.196917004054,61128.31905469447,60952.91048669128,60645.3148555707,60445.01628270607,59342.05145391597,59147.07092076134,58473.920082281766,58330.106068609944,58660.50526388014,58742.45843522265,59001.075040538526,58686.15999664323,58336.37100961101,58608.60621418676,58215.07511537636,57944.097531726904,57565.6498091867,56871.8401943376,56627.766216412,56801.159687671745,57116.426748626305,57498.94718359075,57822.6339420803,57431.93660270171,58441.03069800425,60364.315316483844,60965.65568474059,61165.92497217998,61839.34222574953,61861.44765763441,62045.353634462714,62371.76309908243,63189.033157614314,63338.00278759164,63804.168260509374,65688.30588368233,68142.81725089891,71379.43758052336,76937.98775571243,79177.7308444382,81460.08217321573,80974.20388028066,79730.03485278014,84584.25871157694,89061.72392329368,88274.74363797554,85482.84220888495,84224.78695404975,84097.57205314723,86041.76356787863,85294.1836258741,86457.6376632394,89014.04649786327,90540.83062901175,92742.64142644693,94222.91616838251,97408.37463944114,96564.50327204143,92626.91815807956,79072.2914505725,80316.29018187773,81231.26639780264,83175.37907960931,84174.89811394105,83515.81606587021,83235.13909870097,81121.0744446615,79470.33516735118,81348.06277128699,84148.46083819393,83836.62244369269,85835.48904422896,85363.51338685279
394514,4,"Dallas, TX",msa,TX,37874.250277131716,37849.85333295894,38127.12340444671,38164.66113775629,38010.888569149465,37862.04518678185,37733.09954412732,38030.89395154338,37923.91142845988,37806.45182783891,37926.99714424069,38081.019589335345,38468.26122226233,39011.70370255364,39338.908900017545,39226.28036666359,39705.443366798616,41487.173687825045,42673.042091865595,43220.75997807223,43581.179139367,42992.282935400704,43470.032792306214,44376.46638752505,43791.05086867026,43705.487114323114,44121.278663073754,44345.190474366675,44144.47349589263,44318.90532283981,44539.741476161194,44788.886792323516,45217.198863510705,45052.0819773497,45225.6521197328,45117.048397257895,43699.99690349843,44180.2023081295,44725.06084312947,44736.15588101783,45622.350052081674,46471.2543455234,47121.28827044093,47082.34296855357,47485.31509126291,47613.85330315292,48567.29292327581,49088.3407367268,49439.17731561374,49163.59623805143,49701.89645025582,49807.10966372155,50193.416396359484,50506.23418997645,50407.26237502698,50730.560854646086,51194.45339951691,51629.932297625965,53221.00092034131,55344.41978329537,55172.795501129105,55672.994772613216,56250.133666303445,56128.960894432654,56452.02135004079,56441.69952291348,57036.08910054339,56986.70819252937,56998.421694917524,57742.08134862546,58258.092081642055,58813.74845988151,58529.534842107,60279.479518339314,61242.59403207204,61754.368628548655,62685.038360823506,62880.985598927684,62960.44870607594,63280.10830418956,63842.0736843188,64931.89585642791,65243.91909921718,64343.24344180564,64394.59007824083,64204.180441660785,63931.48359006196,63488.37511470939,63227.86363894101,62020.0861808724,61894.389819263626,61293.531963429596,61350.32577087093,61903.34565315745,62172.34180636549,62576.261823040724,62188.195009850424,61818.18584253149,62095.411494374544,61627.581130793056,61321.007288093875,60988.084659155335,60432.1972674283,60391.498752291205,60723.42003343987,61127.22186155859,61571.011376185044,61960.977886664456,61056.0508270946,62217.952001333884,64462.12982420347,65364.57646773373,66030.70032015436,67307.11217394705,67839.31645693806,68550.18071740397,69525.26220253213,71158.97176626202,72043.40643028555,73231.75170897502,74771.08691958447,78461.13216383611,83137.20440280755,90813.88332024658,94617.38087109916,98574.86078510401,98740.35009138082,97495.81401709293,104023.41211327053,109854.38884097438,108619.98730643987,104634.24573484814,101717.50440643246,101034.82138956725,102917.19491308012,101233.0300756362,102036.05186753048,104581.04678244679,105852.01609130169,107962.77925514997,109291.19341014978,112744.90025062673,111365.21017943844,106246.08464446431,106358.8909952329,107611.23395634379,108340.69330337392,110138.46448725075,110757.2916214535,109437.67709671598,108646.26525325683,105725.20844574955,103571.77426779686,105474.86255400842,108372.65767417666,107524.22544842538,109312.96999176832,108186.20987185884
394692,5,"Houston, TX",msa,TX,30593.699756211998,30576.176636138534,30793.332177319768,30708.283895655502,30435.073785724468,30170.352100147473,29930.758567670542,30158.373517103,29976.531999241448,29754.834049648303,29751.07431068836,29798.17395221369,30053.577195094003,30465.683180945995,30716.950728980573,30593.927253392518,31052.83248597583,32749.228383700225,33871.50115689593,34413.054951382146,34770.43807006758,34194.56312185091,34638.62851694561,35507.23196791812,41561.70845254691,41528.99174311802,42025.85266486383,42370.42998852812,42290.0375753848,42540.25678937399,42827.000386603955,43165.43183287898,43693.9420911965,43626.93236530054,43871.604067439475,43834.13114270628,43839.83384413851,44363.527871407445,44952.68979863067,44988.524091324936,45883.112878185304,46687.64984872482,47227.26114351584,47064.894976422904,47298.24345000497,47241.734381060734,47983.69799197799,48311.10038754383,49893.042949926145,49411.59784216983,49707.12013042381,49543.443210774094,49667.13812476832,49725.79506461172,49395.982691236364,49471.27504335646,49681.224895589636,49873.29900017977,51139.65003862703,52890.3064528969,53226.99076702783,53410.263788496624,53668.46989341458,53306.72248085042,53361.91539141923,53129.94638341337,53465.65405489338,53259.81461874444,53099.25738722084,53603.96268001644,53896.70903597212,54209.72128776873,53747.47089384835,55027.89538868274,55655.885625205665,55944.63126163149,56659.59909333614,56801.71171743811,56862.81761673846,57150.678804314884,57663.15499578697,58661.67094898442,58996.82873605164,58248.85670502717,52238.348260350096,52042.82680898137,51794.35920267827,51432.04009291041,51251.048545184225,50243.94260429848,50169.96601563241,49663.794466429514,49723.64961915237,50189.42989580098,50400.33102223488,50698.61935520186,51098.49877381593,50652.40467214144,50776.4934979754,50324.71724927107,50058.91941549908,49799.85385574684,49327.34962741145,49254.90281610854,49432.71026846227,49639.61267744675,49877.40756961104,50066.20006410826,52497.637605125456,53323.38446576665,55048.28947981929,55595.108093147384,55917.219606446575,56783.975880036814,57055.8328960498,57513.06822468482,58199.14671531111,59445.62076445063,60054.99541470042,60888.0222291533,59234.47131525432,61861.620791013665,65252.61193602738,71032.33665781982,73683.35571654132,76501.13108478337,76553.12993409907,75715.62876704555,81314.95725771731,86360.20274411126,85609.89615121248,82482.60463970012,82447.41546179783,81945.0338368049,83531.29150737237,82158.32256874623,82810.7300421511,84939.22523340971,86010.86467552482,87770.89225869207,88894.38633192386,91708.70706277301,90550.8356665256,86321.10862235488,84302.54989421503,85330.25380799168,85935.90329474532,87482.25723972694,88102.27035173337,87137.46000427415,86605.26417684607,84286.99755471358,82603.67724178321,84146.77620472336,86514.42291956158,85886.07704204193,87462.83588063523,86668.19415651164
395209,6,"Washington, DC",msa,VA,64410.848866932225,64368.42868329095,64953.050020383016,65053.06521786491,64739.64905942113,64419.286047557835,64039.23285195311,64729.5170729269,64559.371359380384,64373.22290466443,64683.40930843598,65030.75300510507,66414.86870013605,67523.59916574521,68118.64021126991,67795.3905976541,68769.93084709167,72644.83660066531,75097.27631905989,76159.57099811765,76877.11999051723,75417.90089522174,76340.8812153088,78154.01961166148,80460.75074376215,79906.38349121879,80511.53599407122,80854.72445387658,80147.1363337503,80143.44626638932,79996.37032123643,79925.52569608264,80364.40365227182,79637.76031362206,79555.87322513612,78750.70371426955,77516.66499231731,77935.14944457286,78525.66255458578,77964.89565299518,79150.60377791728,80150.77382115177,80698.1538025573,79881.35863191509,80002.4520389956,79627.87150539638,80931.34650662134,81347.33617644542,81225.75407530078,79985.3511608509,80341.26271775103,79731.26865549658,79693.82123057454,79533.6061251358,78709.30242975875,78711.07519392019,78954.30358747797,79248.48910573992,81697.69552828281,85210.53291866301,85046.73158443424,85574.35629360804,86135.89597998554,85331.59734251625,85228.67913954888,84515.57703182258,84977.19664866563,84399.85059736428,84035.95334224415,84980.59106645126,85498.82276915747,86057.42699487928,86792.41869491962,89394.16749095352,90630.46171017195,91087.10738791752,92294.0143709358,92309.11075117638,92217.9460559689,92619.15868949374,93510.98348193573,95353.18066954681,95870.63362717038,94253.7781414027,92953.68870146995,92508.40093238668,92087.21252921202,91560.88544407167,91293.98761515424,89349.30909914033,89147.97000015831,88129.39983235285,88177.27861925545,89025.87871110729,89381.29502673825,89991.79575837892,89104.75814560513,88412.24367559385,88850.85794188606,88185.94704918857,87848.34173341405,87367.0326284511,86345.97338413222,86138.8094889214,86578.54719272724,87144.55295584867,87698.54584021753,88093.09606272914,87677.83459574821,89221.97907707935,92532.8402039731,93542.03863852532,93920.31688744543,95080.92336818436,94799.93568799806,94811.1404990575,95219.55922488519,96672.53390493349,96830.12239881961,97505.2741158548,101731.4493960294,105855.08363868398,111414.00693698108,121325.04495690041,125411.12142307272,129432.12637243092,128248.55679305812,125496.78713240783,134189.36832979028,142332.6156933536,140836.78200174746,135730.458302388,134878.69749938784,134652.90521001403,137913.05406423355,136055.10141823886,137675.62871344283,141924.29414266106,144250.4563969108,147678.33606173427,149775.68310099063,155110.66412905854,153225.35785661117,145941.1352197516,144136.70208888696,146112.65627986472,147457.99924986338,150703.21730266418,152440.52642602107,151161.74345525782,150477.29837317538,146448.30544923822,143286.79808500627,146738.356201044,151870.15489607886,151307.0808611367,154692.18922509023,153562.15456504014
394974,7,"Philadelphia, PA",msa,PA,47424.38362540179,47226.46324864554,47431.74650461704,47318.02631170099,46942.99840443842,46493.748477014036,46017.29786796915,46122.108118753116,45698.62985303218,45221.3400118299,45080.303996295755,45061.615626791085,48258.05642370398,48769.677824099184,48996.23978562299,48707.11045043121,49195.683387502286,51272.21556511826,52484.871219289285,52902.28129246732,53124.36871953824,52175.44342022457,52570.99143216473,53501.58876142992,49464.24854132622,49077.55377998054,49310.843187192346,49365.712530229066,48965.617466908516,48967.9262138405,48951.4703555085,48935.108864208305,49137.99214266254,48637.69508114178,48490.197340110986,48040.74069316261,46292.279916925836,46547.7194019912,46892.85085405985,46648.86622361769,47413.87886876388,48072.15962507507,48490.832308427394,48159.747000905365,48325.42927651404,48139.42543031007,48807.09990550076,49014.44304470233,49631.31681546209,48990.22037078202,49210.292177602234,48942.75000007725,49023.075808964095,49058.503367075806,48719.38694057928,48863.601535238835,49119.34164143664,49356.73295943314,50709.87216953403,52639.679673029124,51530.581915506315,51736.05754221556,51977.46396240949,51556.171040059395,51629.99453162847,51408.82176760841,51812.21038666661,51569.40971175116,51394.63373947054,51944.3893194436,52292.326708667155,52652.61571187528,55785.045967924794,57287.685573147864,58065.09307247817,58397.85867312675,59086.316850794894,59052.22129012558,58929.877513171916,59132.55519179829,59641.64191057478,60714.08970533144,61064.11133854871,60214.99289516614,61309.227452847386,61158.16618071314,60978.12177687981,60671.58791977624,60514.79708059851,59475.502721855555,59456.29672898168,58949.42005329676,59014.61944635852,59530.19635075841,59813.889735972734,60210.132248045535,56160.716644491564,55836.03859204677,56226.23966510691,56012.09285006016,55945.462428850726,55740.5000030753,55171.807785938254,55038.41473162945,55304.093121550206,55699.01477463912,56199.1750937276,56668.445296507576,56588.90933448044,57663.7502560994,59698.80619695137,60314.76041932459,60548.07382503317,61310.76327617953,61285.77257680171,61389.481196388966,61601.62009693707,62397.29874759003,62477.709781622594,62940.869936754054,64586.602600490005,67211.74790705182,70661.50849058822,76679.81903863426,79328.54391480362,82104.97688281367,81808.56382251487,80575.79153161736,86197.73473129394,91504.10770353662,90914.6383279399,87995.50946780332,87967.86199155143,87906.57319584691,90141.08912610657,89268.99761898884,90624.36019539421,93471.58366973657,95148.41079258648,97551.69436526106,99227.30000647123,102837.70322154512,101949.94645534559,97607.38902753974,96501.2774318942,97934.36520502326,98918.12415127603,101040.07261041387,102126.99405216558,101290.41251848415,100871.96020523229,98432.59065681507,96579.34012727214,98776.22880182488,101940.65375812704,101569.16236221555,103745.21172169948,103134.38389700226
394856,8,"Miami, FL",msa,FL,38191.85392948679,38160.4825230882,38357.60139157817,38262.37287366405,38030.337949897956,37875.896314129604,37754.05572314791,38124.5303981604,38078.142958686796,38011.2326592519,38236.875545182535,38592.15537378633,38405.63753608129,39274.53355429383,39935.268848545165,40133.68266131038,40991.37162359801,43219.71889787925,44780.80646185545,45656.74015786585,46360.64060666266,45947.21816877614,46691.2324312494,47919.81422521435,48054.455964361165,48096.435803624874,48744.31693920853,49229.87068561022,49227.3284892163,49577.39788032888,49913.574150671375,50259.23412884301,50844.815797528754,50725.68730035787,50973.1010885844,50880.84899147,50416.87367162851,50948.0371383468,51532.08954646068,51504.39876579158,52554.03074264101,53512.99073045715,54191.07752796414,54041.38455457421,54438.44291525913,54516.17360880856,55572.48615026256,56051.19033350258,56167.349293323765,55590.79072143667,56090.41137167127,56072.67993004098,56409.62152104362,56643.23447849525,56440.190258590694,56749.31065584938,57187.15286610486,57613.88676524213,59307.349553743115,61558.081002948675,61511.20509565047,61902.28891253223,62459.41494468212,62158.39273818706,62326.405456700595,62133.15224167967,62742.104808222066,62656.915697756245,62611.77770310922,63387.899642133176,63884.89472565328,64450.41423153914,65213.51600945268,67050.09077788595,67924.82887728546,68325.59362469552,69290.11909111831,69514.2216456017,69682.68075040857,70164.27550180593,70929.30248695375,72341.62740979392,72899.74523720046,72038.7816275429,71553.46170379707,71322.52578309065,70928.38979290356,70376.95562077846,70003.54449971825,68584.9468625873,68455.1104845585,67814.44963495166,67934.13814082569,68626.83003172357,69033.5004200405,69618.20874634394,69663.73983863545,69311.81934097125,69675.20108233289,69153.69525819062,68810.44589716855,68413.46436421195,67719.2372619131,67621.98605332366,67934.72648092535,68306.42245279855,68736.99074033357,69116.6113531385,68619.55641570798,69785.75397319108,72116.64912434228,72835.43331179126,73269.7393528613,74511.57177247855,75061.77946629323,75947.1969448247,77158.40548239062,79044.87328156101,80023.30430694365,81338.22302328829,83391.01296901867,87436.6929060084,92666.67577426771,101417.56434809012,105873.71575662319,110603.32455156604,111326.31649058129,110718.37097798324,119235.02801747319,126990.7523029112,126424.5326943993,122651.81688575273,122998.18379946434,122931.5672027041,125866.09846912902,124378.97241539652,125945.29569539211,129756.45038403402,131972.4298345823,135270.82086703752,137635.00355336838,142733.4344228775,141860.21936800645,136146.5933913675,135980.35125795394,137950.79038691238,139071.93494725227,141623.68579208074,142834.17345146893,141503.36782942808,140856.34729353184,137264.6533273351,134623.1674032693,137042.59983123644,140690.2710451619,139546.01717503648,141910.22450715047,140516.11471334333
394347,9,"Atlanta, GA",msa,GA,28318.814518553434,28161.617108516264,28353.142732744014,28325.093499884457,28161.980703030804,27995.125863165802,27847.94233683793,28069.107246220727,27931.17570471967,27748.93181814397,27804.15298584254,27927.105113318154,28050.852357131578,28542.022553836166,28922.967475672136,29020.225322822607,29720.771111266386,31582.064933299396,32884.58928881732,33599.32838187363,34111.48310009731,33708.47739089729,34261.659006377115,35245.68832896247,36647.18017469169,36652.50698855277,37136.41488188273,37493.439692451306,37430.96984549759,37649.5624872825,37822.595992560055,37997.35496379726,38352.466401842095,38157.1135754953,38262.19564998958,38082.65295001337,36776.294718902165,37084.207640557746,37464.44202930552,37376.606358985,38139.29020317371,38825.697327136564,39289.365657137925,39092.446273145695,39318.047132947955,39274.143527739485,40010.71380257748,40355.15599142115,40193.64187921942,39795.11936644454,40160.341830483696,40117.65261841224,40341.12122243741,40469.9087630645,40191.85126245527,40301.10360405858,40550.88761073711,40822.22584925012,42161.274103247175,44034.92568055762,44209.24825571854,44597.598399042596,45021.90207173015,44782.29101014982,44931.61989110842,44778.84454187839,45260.00858257426,45177.07461938748,45155.04658176999,45774.33740123062,46215.63215235705,46735.100394299865,47522.15563906029,49127.006323707195,49998.246569675306,50441.08685138382,51267.595539146605,51454.23719411452,51600.916338563635,52018.123820467736,52718.840169478775,53928.61873403409,54436.432057036705,53789.871841200125,53269.517791330305,53179.180601886066,52990.821429428026,52669.57674442352,52532.090598392926,51490.56866609066,51457.09045561523,50960.76309571643,51061.937422116534,51609.3411052426,51891.338942493676,52325.778710539475,52352.590644726624,52024.56350634831,52291.99096358466,51894.10057001814,51664.21183476919,51414.30358248126,50916.43061446112,50902.81221758231,51238.72134586053,51664.041819966915,52122.87764179431,52533.41977948819,52112.77813430059,53268.108504230826,55443.86135347509,56251.589567163064,56753.842407506345,57870.54856016748,58299.984058588234,58972.81298375714,59963.4711815129,61661.81853066919,62634.85782160835,63902.340131287325,66994.79299155419,70456.91336185976,74756.37236282894,81887.31631498909,85186.14905056565,88614.74250685761,88549.38581730534,87364.86910928853,93884.21913897703,99771.06260484904,98719.38665909575,94954.45129772874,94198.47128608038,93782.4044239354,95930.3087100972,94502.18371915477,95510.96192782687,98233.69869778004,99730.89846569618,102064.7667380247,103650.59533372025,107419.05244762744,106295.10662945859,101391.10810324438,101857.41103784513,103214.4833553759,104014.99714935254,105992.94339594293,106872.51651259401,105767.14029907165,105158.62732293997,102308.53418856878,100005.50994542432,101868.25531987305,104699.32536690489,103755.9112504652,105517.72401090882,104367.13316105297
