RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28
102001,0,United States,country,,47802.67824947767,48022.46459512693,48260.77340108924,48455.534195960936,48633.468875394334,48797.03547159021,48983.39080353179,49188.162506858294,49406.309213647146,49618.43232544814,49818.1811347417,49999.2073309055,50145.27811810385,50275.312831241376,50358.805275166764,50496.27941161483,50639.97991378563,50828.670796964965,50982.63633271904,51143.47404118139,51293.564502429064,51445.899260764294,51585.053153069995,51713.73586446635,51908.264794081755,52127.831730537524,52405.161771743675,52605.36521661784,52798.745530393964,52953.718883833455,53117.09464277136,53258.514672381934,53442.645751403456,53604.31269049366,53790.431676077846,53978.755077039554,54176.8430072768,54383.317510667905,54551.81059344186,54735.69825968526,54887.737370959614,55068.20338921061,55255.68954767646,55463.81871793188,55636.66445692982,55841.9772555406,56068.56421988846,56294.16568417357,56466.6798983606,56609.62690629345,56781.373518456654,56971.68021969619,57191.80126094648,57401.284799281304,57608.96275892111,57810.37348878162,58020.6272859276,58217.45982492608,58390.0799876784,58567.16562870091,58770.530048689645,58990.41314318852,59165.83687754775,59066.2010148813,58877.26342573276,58714.36251947041,58729.96395346945,58733.275500862066,58762.64001014067,58905.55709262764,59142.58772746738,59447.099215730625,59822.939510915035,60234.937647128405,60715.56152614062,61359.11575505404,62194.27216712678,63156.33773875422,64150.90267391713,65220.649271879316,66279.9104123987,67186.38920862845,67959.16890571096,68647.90638689007,69230.1601457291,69810.65934589323,70270.12965528737,70896.08993838694,71473.46073461809,72089.2058094111,72552.13140309023,72892.00675639643,73125.68221789051,73303.19179599965,73477.04269006709,73700.77755781064,73916.82959182201,74133.79694743565,74427.00544104056,74615.14448036355,74803.23430947248,74856.39889684538,75004.61060602021,75182.28211210945,75390.52409038223,75633.21581140874,75840.77733546545,76077.54108421391,76313.9466074476,76578.99735655972,76819.13380416392,77009.36368098186,77169.35675614189,77373.92168350366,77560.00041027728,77759.35066825167,77980.07926328346,78221.26268209216,78504.8734676332,78743.50611902794,78993.09592989988,79206.50684778509
394913,1,"New York, NY",msa,NY,88673.20192694973,89257.24198218486,89771.75332137826,90163.61479486337,90316.75714978056,90472.65746643963,90646.5038025304,90976.46212143268,91307.99024512019,91624.1381181248,91801.21285176011,91998.02178739355,92124.24120696244,92263.90013195084,92292.79375359183,92355.62708006588,92466.18597221318,92608.54580018834,92833.13947005098,92939.98722853289,93116.58034820609,93295.89558607926,93650.22301888777,93777.22441614735,93894.51570435324,93888.87997925354,94044.98075414616,94150.22995393236,94362.90560970233,94483.98914537151,94617.57270432003,94669.05140040674,94778.27179542976,94754.65803399848,94757.48194286495,94843.62502611501,95038.56723615754,95244.36724181338,95404.36799797838,95706.96034881349,95887.53310432198,96064.85731604428,96232.1226484997,96549.37425351502,96819.37754495659,96999.3598940467,97258.97741680389,97475.35947870616,97747.76639678593,97964.75816774972,98221.13209010448,98399.83288503483,98629.46277458951,98910.99726590648,99190.45835721023,99424.9603353859,99667.1399931471,100054.97960262655,100351.27020868527,100699.39975703738,100969.244504478,101316.64115656716,,,,,,,,92145.97522660035,91643.99840566592,91625.48630505298,91740.5450695986,92040.64876943234,92477.3822517477,93208.17401951994,94378.46960713185,95893.59103670075,97743.19266664199,99983.30473526409,102276.2344102538,104331.34027760671,106147.15608612346,107683.72347106384,108943.0490516558,110028.71226640162,110992.23317170289,112048.7264342673,113271.9031609056,114565.1050172354,115810.46637292237,116793.50006076237,117452.17712546421,117755.44724567219,117871.81847885731,117941.37298676501,118182.63756373092,118500.85379634686,118964.93437430657,119556.18468413143,120019.78050067282,120365.7781145615,120663.09791879026,121002.01754802583,121531.31251948085,121955.68509790154,122254.11176749977,122582.29975088059,123063.46031815198,123612.65795624284,124124.40202456793,124421.75815124424,124638.1010491832,124839.78380556442,125034.5751142334,125260.83730817953,125497.76740499285,126036.16586792863,126800.03571485572,127603.72461042974,128248.46612983473,128824.41105610177
753899,2,"Los Angeles, CA",msa,CA,72387.03026246461,72794.82067168545,73251.23055437724,73638.33891630167,73950.71735743714,74276.20740134803,74677.57798410777,75128.34397069641,75637.03561646072,76078.11147890249,76561.86354674077,77044.74879737246,77436.0982019764,77770.91028066524,78010.53820439518,78286.21497872188,78632.26200480905,79047.12304633211,79467.89502487586,79781.33847612406,80117.73111026555,80409.7843447975,80735.79995732236,81045.08189440043,81568.34900623624,82088.0518638899,82714.79392380336,83155.23701221426,83542.48354154096,83815.76956120755,84113.86949445737,84376.68121714718,84712.68488260143,85008.94572068097,85392.95806088563,85730.2093307694,86130.51013982818,86539.40532670644,86776.391393902,87043.32221288033,87221.33926122542,87598.04408775139,87936.45420475194,88340.11701055504,88644.96731554266,88998.03149531834,89357.56257500562,89702.13095591146,89895.71226006762,90054.04712905211,90322.76189718617,90650.7665310508,91053.65123824068,91334.08657785735,91616.13689094855,91875.83911080791,92155.76191754699,92419.94898679532,92616.87250118415,92845.35064196023,93108.72544310437,93390.06256885949,93201.09332507596,,92428.07543890846,92068.61490229513,91856.53110006423,91584.73738191281,91504.76485234384,91670.01344695549,91971.39447475578,92205.80147218256,92607.16661414136,93005.0571222098,93550.50754679053,94103.193952391,94944.82251892767,96161.93642979022,97678.06227430832,99472.43472257782,101048.59331180864,102309.80228947767,103303.92097813441,104380.1471608386,105312.29585157015,106333.42969403543,107177.69750954682,108339.3439063707,109265.22428660157,110020.81644153854,110454.21825019507,110744.25147923581,110978.12036605882,111120.92091547433,111359.24132431812,111578.10717330211,111626.35043305602,111747.84241115939,112025.1535974102,112311.35257902267,112468.6413413654,112551.4314610471,112730.1616649728,113029.02007691281,113249.94157106073,113558.50774372586,113701.0006165017,114029.0261859311,114182.19570667435,114468.78749050833,114723.48528047663,114817.57688408114,115064.6877912859,115367.96579009874,115689.38559282174,115936.88335572217,116324.09940646353,116757.56524767897,117332.70907501773,117766.77226651802,118454.93073607104,119000.53515742204
394463,3,"Chicago, IL",msa,IL,55996.0394742587,56048.80731035784,56203.832366626426,56360.73340984618,56545.09516864647,56665.71326558791,56774.71322711353,56934.033670906625,57073.91509509015,57268.84227102618,57446.86254936786,57664.559968723,57801.20434679602,57903.699649313254,57980.89208376463,58021.167497536764,58082.960957241026,58205.128516284145,58408.339060734,58657.17620050172,58758.25949574622,58869.3793655316,58851.36824114222,58844.25439252796,58918.59704962338,59166.05407840006,59487.8043681917,59729.00042863117,59909.57713216416,59965.6186651284,60006.69370938482,59970.336780943544,60133.177186788744,60203.88661316443,60381.513961310375,60498.87796081293,60651.20320969932,60797.0433085504,60866.12716809146,60974.3838201305,61074.20505542984,61261.77547770287,61436.7035835361,61555.34956127796,61584.393244516425,61646.083295646924,61790.86907334578,62061.92481944345,62234.73566481048,62341.62060170619,62445.634679124225,62569.58638398897,62728.863220818595,62872.41576103148,63021.385904309864,63243.54498035398,63470.54329709657,63716.25062100895,63874.72457198589,63964.88739919834,64103.96358219246,64267.788232393665,64433.83705597559,64098.295362055316,63709.54231459051,63375.88131594724,63247.75239882799,63142.991764440805,62958.67245433168,62694.566156322326,62521.70522151293,62515.43338058963,62537.246615098265,62738.16687904711,63009.38433058398,63646.45557434678,64302.33529266528,65026.6729743337,65630.0252902703,66244.02994810871,66908.78340863538,67516.0873580789,68110.32751828445,68658.946159194,69184.76943488543,69584.24375676912,69985.42740548085,70475.24817531575,71050.49387970578,71516.46426725901,72016.2247919309,72422.02929843421,72864.2136866673,73306.62236707089,73681.71918311734,74012.03319130563,74322.97060472726,74686.36303400192,75095.36320960388,75358.36592420623,75697.02278820687,76044.086710309,76409.37646017912,76809.08476194093,77091.87883014302,77327.60407704848,77524.11699834777,77895.64759693667,78321.73042140354,78714.73920171942,79061.23536172151,79409.88823472928,79659.03432052207,79948.46585756078,80236.10889059403,80550.5546341284,80936.4548561481,81380.52142055954,81893.42989923741,82297.87875503035,82676.3842782647,83080.0184261152
394514,4,"Dallas, TX",msa,TX,43743.44008839296,43900.86438487083,44077.18255613246,44355.287948389545,44548.22052393257,44747.05326526898,44916.154781940444,45102.17278794089,45306.85449626056,45508.53856119713,45725.453382563304,45938.21286499809,46076.094182555775,46264.5212029783,46398.10391039022,46621.919265063356,46759.485085953886,46945.97435008873,47094.30683268287,47302.948459414016,47501.77222847443,47716.37543366828,47867.78487863143,48021.38664824124,48262.04291365564,48456.5441807052,48766.162983739705,48936.10551085549,49244.32579420477,49372.76386212396,49546.091608869996,49674.95054239396,49827.097180344594,49920.51918605191,50134.58223389505,50314.00895497036,50535.211405991955,50709.80067774681,50768.1538283461,50870.14878346489,50895.35157495831,51096.63695911868,51262.03723530132,51418.054905057084,51524.54287873108,51757.08672788803,51951.04450710216,52214.59581979245,52329.48076793235,52434.96181917528,52629.17839225673,52831.02188371987,53038.7975054876,53182.44964411713,53334.4219976255,53494.966809096244,53677.020173905534,53779.752898916886,53859.39091400954,53895.223946223115,54002.062134275504,54139.80633730502,54405.105901820556,54320.26784641235,54165.3549254975,53971.60255054186,53958.32938101697,54031.149835485994,54226.58311217604,54540.5612320669,54848.34717559471,55238.2665977225,55601.964596332684,56053.06481516907,56429.13704799513,57078.469063624994,57862.404202537,58859.67198965956,59913.82788068589,61032.51681538446,62088.932898848725,62968.10708693703,63794.92770217129,64537.11739314718,65169.66301393995,65684.51109571905,66073.04581334676,66691.06126878975,67315.18330117523,68093.51286120842,68558.13541707821,68740.13475684983,68720.25908774564,68570.85169080418,68545.17626942786,68561.87007549418,68720.92895076159,68864.20186641338,69156.54976929151,69144.09292940801,69122.32829606479,68897.71761144842,68874.33038785917,68838.77499085592,68872.83080991577,68969.58076393248,69064.18096414088,69112.21282255466,69125.65033436992,69045.15379486166,69010.95060684829,69018.30531812369,68986.30809172067,68973.3638167067,68930.58336827732,69000.65114166492,69108.52881811885,69247.72446332137,69326.45213163136,69420.12861942434,69484.57840199712,69638.60464036527
394692,5,"Houston, TX",msa,TX,48764.38298746636,48862.71852807286,49061.551146900165,49145.92879315522,49233.386739100984,49311.66848886521,49414.75814692161,49568.982516810465,49619.889268488725,49659.61542762349,49704.38161670561,49739.63669962513,49836.40494424186,49859.05783397665,49966.626244454215,49928.68640677625,49838.72843444616,49762.41321424032,49793.90102358141,49840.290047421746,49763.67536472808,49717.35602578081,49599.71851773684,49602.67489134006,49654.23712014518,49877.114502219156,50081.69811797429,50122.785059508315,50257.60725194867,50245.8196177824,50325.39968153576,50299.041954067645,50716.93505742243,51102.6895621512,51580.8683630311,51851.32240189899,52010.919935174716,52160.32578864624,52101.18954358472,52254.146505560995,52221.371676669354,52363.12735942977,52401.09224473614,52519.81696750342,52517.29384492601,52591.700473218436,52688.337301533014,52713.668329557804,52770.88377580832,52675.125529286925,52839.776740370275,52955.27506217902,53176.03861725269,53331.10513802172,53497.54614140551,53650.10003368998,53705.60736198479,53719.7626423218,53694.81306841698,53810.9833749063,53953.67991349467,54190.97399932256,54435.469455181694,54289.79309817474,53924.033391458215,53573.33080436378,53560.09491014963,53674.671238327384,53832.38834363896,54065.28574899721,54304.179243790655,54479.54158180133,54657.30165029368,54728.95434240282,54968.19022358616,55413.62439655367,56145.938862431394,57022.63016281839,57799.38143113906,58597.27616756103,59265.032727166865,59784.623919402744,60221.530326849,60614.02592654323,60987.66249015851,61403.39982156972,61690.81395440249,62107.4173908371,62378.588277515424,62728.3083987431,62967.41096034211,63130.86815622877,63215.05912355776,63254.72769207668,63317.834564641846,63483.44685790704,63716.142082667444,63997.90682917826,64329.232967637035,64415.052742043095,64547.520974538034,64543.331229926,64630.20604311514,64656.070119930606,64667.099701518106,64725.48705412051,64843.26995205554,65023.22249298773,65232.28475145282,65392.15758639815,65441.05783355949,65564.51153889605,65657.77084385848,65776.3501395276,65885.20885231845,66060.96854971965,66303.72580056671,66549.4301677557,66742.86013925396,66838.28882831779,66871.62587308823,66905.75280217618
395209,6,"Washington, DC",msa,VA,67325.19472671629,67509.88417472139,67681.98649170609,67757.16711167662,67866.13774679316,67913.74091939368,67986.80685736545,67994.29556222996,68183.60882697563,68339.6036977107,68589.50419889366,68709.51895493321,68823.78079544612,68809.47636474475,68842.4595372166,68877.08343867766,68999.42418260517,69060.19323342519,69166.61626784621,69318.66790389777,69405.70660317087,69525.85879901685,69590.7879955929,69732.84644601002,69910.69055517162,70205.31425585074,70441.1813236256,70599.25942650241,70613.86133841734,70729.19400316906,70811.32599441062,70908.62120041042,71063.22595506764,71215.126568924,71269.39997211022,71307.87824079003,71365.12952252255,71496.594164393,71703.96017029288,71900.3624688426,72109.93666312202,72280.59651188034,72470.56489653933,72733.68793138061,72804.78628775122,73053.02324165372,73391.6832395725,73739.71728279759,73848.472845368,73932.70400603072,74037.54017362275,74195.82498624883,74400.35287180291,74604.37138323057,74802.17247537056,74930.65025154334,75189.81576343738,75308.7232265013,75416.0582092417,75514.07939257215,75783.35561299753,76017.80805670077,76341.2284936475,76103.88982333415,75707.01339708899,75134.42358660095,74769.65215670604,74496.75557600017,74189.08354067196,73968.96895125475,73749.86014023566,73701.90598477448,73872.49402591315,74095.93595941627,74262.8428891344,74629.38507908794,75359.34421482764,76439.47941147408,77478.50896678209,78508.36829330244,79439.7125356773,80373.54447217297,81119.41784192935,81713.03201291512,81984.62925033331,82326.20711310852,82684.49840163761,83309.89998663067,83868.90385718316,84423.02037549902,84907.73320632211,85216.9336641319,85462.74252108061,85457.56194707214,85540.37479529055,85671.00102089648,85930.85497401668,86278.50757098012,86729.67813624059,86971.55865086202,87209.6866882066,87226.36220069302,87450.64081835006,87760.4384263917,88158.50171909602,88680.13143797517,89092.56776208534,89480.08384579494,89783.12925953451,90211.45193831951,90535.22391377803,90854.0708690875,91137.92052439826,91533.57253862244,91816.89358675882,92130.63329634721,92438.27327299936,92774.5774204835,93194.63176382717,93637.25196065872,94142.7426159663,94487.8852077302
394974,7,"Philadelphia, PA",msa,PA,49244.2874797001,49385.95140599873,49669.62923055532,49789.25875537925,49897.828034233775,49921.240482537796,50049.48616196385,50157.79952835126,50310.76135795806,50448.83603590019,50463.62438789045,50502.822902889784,50507.88004362617,50704.062563474705,50796.342346146215,50963.6166020144,51084.248484115655,51318.50162676321,51433.299181140086,51540.56674796095,51607.525306093514,51716.509694301596,51950.006251556624,52096.44411679294,52262.019060406696,52343.45293491109,52502.818086788204,52621.8546536647,52721.68967001223,52723.80768642435,52833.848401758034,52986.5503344864,53187.711560342046,53313.525492819484,53400.525487392035,53641.09689789233,53786.46984855073,53948.70880960099,54040.71337439054,54197.47677533291,54417.26818320656,54543.36982917848,54671.181144325434,54802.53106373789,54984.16725071494,55219.36680628572,55489.60480828777,55599.35883696321,55798.97973824405,55889.58996845082,56104.3442105674,56281.07212435479,56432.06997873427,56686.70224677745,56911.094498126724,57116.998948307024,57270.21910442037,57414.06016199644,57532.267882879074,57720.20123302807,57888.952465084694,58150.103257699644,58335.12230049562,58335.337877238664,58209.023347199574,58129.87647082889,58278.32281779827,58370.78466586437,58579.43744222377,58746.23148758952,58966.19874926454,59148.75015487539,59395.94693447574,59621.17918659499,59848.3245324765,60319.22850277069,61025.5911189212,61724.30822724334,62346.10539153367,63026.42244808459,63556.92400879815,64178.03653621549,64734.42008984675,65523.21526109611,66025.351660398,66486.7951194074,66767.82175631175,67180.60132642685,67553.79983824329,68013.2741161653,68368.08016844447,68621.8094012092,68780.65557627814,68813.38715427779,68940.98785241327,68967.52508597757,69233.01601368289,69363.01246067762,69695.7786447057,69898.42013673208,70162.3533730725,70219.93117866553,70402.89324290457,70622.14358611737,71015.411717533,71310.74601533043,71547.70019586089,71643.38873542521,71815.52367127659,72173.06851430744,72414.08396863446,72638.65667419466,72785.61200247055,73052.14352110772,73284.72998231341,73528.3744385184,73711.98921557533,74015.45357432947,74328.92000632096,74754.24235887617,75060.01031987969,75300.20641880656
394856,8,"Miami, FL",msa,FL,58506.83197901247,58858.851864033306,59140.747648469674,59444.31199576638,59729.422761323396,60027.699334611185,60295.04224146069,60551.97480762224,60869.3299125952,61115.44535057675,61473.157530150274,61713.00125306643,61956.738169193086,62083.39018894719,62217.08035069667,62300.94271827012,62295.17205495002,62281.22572045457,62307.753461350236,62371.163420582976,62468.18563350258,62539.13862984191,62666.85445395336,62753.84809105217,62989.09063749983,63186.386584157546,63510.234772653086,63659.41395303203,63776.78223346636,63898.51042249844,64057.71190954256,64293.19170096381,64472.08519407878,64616.95241565157,64621.289171429155,64708.43068800821,64877.08621805118,65094.07769125148,65271.78530057204,65455.96942621599,65647.86761195776,65873.79948741995,66081.69368960822,66285.10783107877,66416.00115822218,66581.5540824044,66774.26783576145,67002.17383189402,67108.33279085356,67170.2363008442,67237.16144921236,67402.89368837354,67605.20020422051,67787.24068843588,67964.83394212108,68107.31640997581,68332.38389652438,68562.03998478057,68834.23313263219,69060.4309082982,69321.94910633929,69618.77726781144,69674.91723939584,69524.76322649479,69249.43180121353,69176.5716216608,69197.17960006229,69279.3721041744,69444.43137632946,69962.33769300734,70616.89017499512,71248.66686437473,71994.7616447444,73022.27763409492,74214.85356992015,75604.27292572374,77198.3457621347,79141.45330960864,81501.85438508913,83963.37592883341,86270.2396067907,88082.82203530055,89858.82019296946,91784.45326023987,93659.530188869,95163.46728027209,96623.86197667358,98202.12163167758,99718.93475462896,100712.36672539744,101279.69114647446,101528.21165936039,101809.16105850371,102024.16088781403,102345.85181144318,102687.04092719479,102930.2255837027,103146.77076272422,103259.8206764158,103355.15798519681,103565.94385608395,103736.61527235067,103845.15488610369,103991.83729637311,104148.5203636459,104591.87683735235,104861.54173434578,104944.69486006306,105047.5427147303,105363.401337507,105643.77226968738,105789.17934969705,105786.68866674685,105935.31903696158,106189.5681064343,106502.96159646398,106787.08856694194,106942.34380501749,107135.96833935152,107385.18062227208,107632.42514466943,107760.96394813947
394347,9,"Atlanta, GA",msa,GA,41088.24902446215,41292.431261709826,41381.409312357406,41634.1787126161,41783.85832115365,42070.600933512455,42238.69560803872,42437.049010186915,42639.247803108,42856.423823448386,43034.07504110128,43241.40647711379,43459.48448748461,43697.95034635828,43911.152550082144,44027.18831174579,44195.5690794986,44366.63800154281,44633.252226651166,44876.95617034924,45085.61247202792,45313.45890012739,45494.19723255864,45682.56036244636,45884.86585042536,46145.7254891648,46469.95437914647,46763.079432315986,47071.81156822225,47335.277890256984,47635.14782548869,47875.327866375905,48157.71361470273,48258.21287924567,48506.50490431923,48682.886244238376,48995.367328935004,49227.313323713475,49480.7264133772,49767.19008866941,50028.276850790404,50260.448960609014,50470.11594599295,50680.061946084425,50877.39657697253,51311.32723811393,51706.39826821276,52076.90311162706,52292.247971600984,52500.85323556393,52718.80861194206,52939.9878290766,53163.55913063616,53426.51841964434,53667.21329823626,53937.81386997302,54197.221290461624,54350.458835304256,54461.387156870755,54619.38384927187,54815.90301470894,55037.54892000764,55332.04356519068,55389.77917249598,55418.033307756465,55488.70797992214,55799.483078521655,56122.388870109935,56505.03446626094,56970.10293705538,57543.16514903761,58140.252260995585,58823.6903230617,59555.44803021435,60259.85953664185,61127.975379614145,62111.16231863237,63363.883574970656,64607.75154447659,66001.4772638675,67211.45598513137,68271.74641905514,69027.34463145123,69581.5064809744,69971.89115755253,70268.4994241054,70626.78583555385,71070.54551547149,71636.64560147535,72168.32212259807,72679.05579988162,72941.30697910069,73035.79860189935,73009.45694799564,73084.7762191343,73347.21065751465,73449.30173527595,73566.06960521835,73808.24649703974,73954.80525409467,73963.78004368415,73705.95277673505,73577.41602985514,73515.02711381325,73449.79908708842,73432.92647093555,73402.89188465834,73468.84294544633,73675.72840344573,73880.90412404595,73936.75115051931,73964.2859227478,73989.37975926232,74154.58250599822,74218.30061402083,74310.19970961307,74513.280045271,74754.89769274142,75006.43307766767,75123.6377825224,75228.09398206053,75334.79390917579
